"Airport","Country","Date","Passengers"
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2010-04-01,3961172
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2010-05-01,4283875
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2010-06-01,4452166
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2010-07-01,4912549
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2010-08-01,4823882
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2010-09-01,4455368
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2010-10-01,4457092
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2010-11-01,3865337
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2010-12-01,3593399
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2011-01-01,3559914
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2011-02-01,3388276
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2011-03-01,4032634
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2011-04-01,4282200
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2011-05-01,4205702
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2011-06-01,4380488
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2011-07-01,4889307
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2011-08-01,4766935
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2011-09-01,4508602
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2011-10-01,4298445
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2011-11-01,3625460
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2011-12-01,3616415
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2012-01-01,3334481
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2012-02-01,3137593
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2012-03-01,3679390
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2012-04-01,3865688
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2012-05-01,3960094
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2012-06-01,4156119
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2012-07-01,4526781
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2012-08-01,4299308
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2012-09-01,4079469
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2012-10-01,3863264
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2012-11-01,3144854
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2012-12-01,3066009
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2013-01-01,2903053
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2013-02-01,2629914
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2013-03-01,3166095
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2013-04-01,3244108
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2013-05-01,3402382
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2013-06-01,3534381
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2013-07-01,3875131
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2013-08-01,3797268
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2013-09-01,3611107
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2013-10-01,3485121
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2013-11-01,2978108
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2013-12-01,3040447
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2014-01-01,2862432
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2014-02-01,2669879
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2014-03-01,3219638
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2014-04-01,3487605
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2014-05-01,3541097
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2014-06-01,3713741
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2014-07-01,4058967
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2014-08-01,3986641
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2014-09-01,3874545
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2014-10-01,3760778
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2014-11-01,3255220
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2014-12-01,3338771
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2015-01-01,3142500
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2015-02-01,2992959
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2015-03-01,3653551
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2015-04-01,3800235
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2015-05-01,3994120
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2015-06-01,4135708
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2015-07-01,4591121
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2015-08-01,4545923
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2015-09-01,4327330
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2015-10-01,4267560
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2015-11-01,3675599
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2015-12-01,3644435
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2016-01-01,3511210
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2016-02-01,3458351
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2016-03-01,3983113
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2016-04-01,3932727
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2016-05-01,4288346
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2016-06-01,4409131
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2016-07-01,4900507
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2016-08-01,4786871
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2016-09-01,4606485
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2016-10-01,4510714
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2016-11-01,3938280
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2016-12-01,4030289
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2017-01-01,3839038
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2017-02-01,3577706
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2017-03-01,4190657
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2017-04-01,4485043
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2017-05-01,4520643
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2017-06-01,4742539
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2017-07-01,5083579
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2017-08-01,4946747
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2017-09-01,4804149
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2017-10-01,4720561
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2017-11-01,4186361
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2017-12-01,4246574
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2018-01-01,4124962
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2018-02-01,3913097
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2018-03-01,4574128
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2018-04-01,4797147
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2018-05-01,4953442
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2018-06-01,5073468
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2018-07-01,5527575
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2018-08-01,5382999
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2018-09-01,5199428
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2018-10-01,5183443
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2018-11-01,4532818
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2018-12-01,4562149
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2019-01-01,4379265
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2019-02-01,4142299
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2019-03-01,4898764
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2019-04-01,5044328
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2019-05-01,5212331
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2019-06-01,5562409
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2019-07-01,5937071
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2019-08-01,5782549
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2019-09-01,5564750
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2019-10-01,5480992
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2019-11-01,4774844
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2019-12-01,4872419
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2020-01-01,4659005
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2020-02-01,4392979
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2020-03-01,1969922
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2020-04-01,36179
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2020-05-01,76829
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2020-06-01,189431
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2020-07-01,988932
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2020-08-01,1355274
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2020-09-01,984613
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2020-10-01,735922
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2020-11-01,697420
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2020-12-01,987741
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2021-01-01,844789
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2021-02-01,752708
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2021-03-01,970713
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2021-04-01,986106
